GameId,Name,Title,Genre,Modes,Series,Developer,Publisher,Year,MVS,AES,CD
61fcaa73-f8be-4a86-8880-7fef64fb5908,"3countb","3 Count Bout","Fighting, Sports","Single-player, Multiplayer",,SNK,SNK,1993,1993-03-25,1993-04-23,1995-04-21
007e60d2-32b9-4808-b993-a33ee98cfdc9,"sonicwi2","Aero Fighters 2","Shoot 'em up","Single-player, Multiplayer","Aero Fighters","Video System","SNK, Video System",1994,1994-07-18,1994-08-26,1994-09-29
621e7f61-d18c-4f38-b50b-9c3ea220141b,"sonicwi3","Aero Fighters 3","Shoot 'em up","Single-player, Multiplayer","Aero Fighters","Video System","SNK, Video System",1995,1995-10-12,1995-11-17,1995-12-08
c41638f5-2d37-4d3d-84a7-ab808532c8fa,"aodk","Aggressors of Dark Kombat","Fighting","Single-player, Multiplayer",,"ADK","ADK,SNK",1994,1994-07-26,1994-08-26,1995-01-13
65dd7730-779c-418b-84f2-573adbc00ce6,"alpham2","Alpha Mission II","Shoot 'em up","Single-player, Multiplayer",,SNK,SNK,1991,1991-03-25,1991-07-01,1994-09-09
cde5dc75-f10b-4138-8b1d-d59cc0b65026,"androdun","Andro Dunos","Shoot 'em up","Single-player, Multiplayer",,"Visco","SNK,Visco",1992,1992-06-15,1992-07-17,
d6eecf42-423f-4c9e-b0c5-da5dbcdb8fd6,"aof","Art of Fighting","Fighting","Single-player, Multiplayer","Art of Fighting",SNK,SNK,1992,1992-09-24,1992-12-11,1994-09-09
a83de6fc-2c39-4197-9b9d-5f63ac19f0ca,"aof2","Art of Fighting 2","Fighting","Single-player, Multiplayer","Art of Fighting",SNK,SNK,1994,1994-02-03,1994-03-11,1994-09-09
73fc34d3-b966-4284-85fe-690a03f61829,"aof3","Art of Fighting 3: The Path of the Warrior","Fighting","Single-player, Multiplayer","Art of Fighting",SNK,SNK,1996,1996-03-12,1996-04-26,1996-06-14
500e4aaf-6d0d-4a06-b094-63e4d3134dff,"bakatono","Bakatono-sama Mahjong Manyūki","Board game","Single-player",,Monolith,"Monolith, SNK",1991,1991-12-13,1991-12-20,
5ccd5fdd-8af9-4013-8436-7e686d2a433a,"bangbead","Bang Bead","Sports","Single-player",,Visco,"SNK, Visco",2000,,,
c534a094-7b66-4a83-8b86-455c22fc4e7f,"bstars","Baseball Stars Professional","Sports","Single-player, Multiplayer","Baseball Stars",SNK,SNK,1990,1990-04-26,1991-07-01,1995-04-21
073a706e-6b4f-4ff8-ad2b-6f3d46c4a469,"bstars2","Baseball Stars 2","Sports","Single-player, Multiplayer","Baseball Stars",SNK,SNK,1992,1992-04-15,1992-04-28,1994-09-09
4668b5a8-2ff3-42f3-a3a0-bd018bd86041,"flipshot","Battle Flip Shot","Sports","Single-player",,Visco,"SNK, Visco",1998,1998-12-08,,
ba2f10fe-5b06-4d5d-9c8a-92f76217969b,"blazstar","Blazing Star","Shoot 'em up","Single-player",,"Aicom, Yumekobo","SNK, Yumekobo",1998,1998-01-19,1998-02-26,
1e109064-30ba-43af-bba7-1c005579de8d,"bjourney","Blue's Journey","Platform","Single-player",,"Alpha Denshi","Alpha Denshi, SNK",1991,1991-03-14,1991-07-01,1994-10-31
7bc5a3a3-6978-4a20-b534-ccfbfbcc7789,"panicbom","Panic Bomber",Puzzle,"Single-player",,"Hudson Soft",SNK,1995,1995-01-18,,
